external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'},"{'href': None, 'total': 83950068}","['canadian contemporary r&b', 'canadian pop', 'pop']",https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174214f3cf1cbe7139c1e26ffbb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178214f3cf1cbe7139c1e26ffbb', 'width': 160}]",The Weeknd,92,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
{'spotify': 'https://open.spotify.com/artist/2RQXRUsr4IW1f3mKyKsy4B'},"{'href': None, 'total': 2817582}",['pov: indie'],https://api.spotify.com/v1/artists/2RQXRUsr4IW1f3mKyKsy4B,2RQXRUsr4IW1f3mKyKsy4B,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb336ec53126239813d38ff588', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174336ec53126239813d38ff588', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178336ec53126239813d38ff588', 'width': 160}]",Noah Kahan,83,artist,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B
{'spotify': 'https://open.spotify.com/artist/52N3KGrTWDRhdQJrgBTofE'},"{'href': None, 'total': 77538}",[],https://api.spotify.com/v1/artists/52N3KGrTWDRhdQJrgBTofE,52N3KGrTWDRhdQJrgBTofE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27343a1532b43f112f4b1e639c3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0243a1532b43f112f4b1e639c3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485143a1532b43f112f4b1e639c3', 'width': 64}]",Good Neighbours,67,artist,spotify:artist:52N3KGrTWDRhdQJrgBTofE
{'spotify': 'https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR'},"{'href': None, 'total': 96594236}",['pop'],https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17840b5c07ab77b6b1a9075fdc0', 'width': 160}]",Ariana Grande,90,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
{'spotify': 'https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS'},"{'href': None, 'total': 7148055}","['irish singer-songwriter', 'modern rock', 'pov: indie']",https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS,2FXC3k01G6Gw61bmprjgqS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ad85a585103dfc2f3439119a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ad85a585103dfc2f3439119a', 'width': 160}]",Hozier,84,artist,spotify:artist:2FXC3k01G6Gw61bmprjgqS
{'spotify': 'https://open.spotify.com/artist/40ZNYROS4zLfyyBSs2PGe2'},"{'href': None, 'total': 4005373}",['classic oklahoma country'],https://api.spotify.com/v1/artists/40ZNYROS4zLfyyBSs2PGe2,40ZNYROS4zLfyyBSs2PGe2,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744fd54df35bfcfa0fc9fc2da7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784fd54df35bfcfa0fc9fc2da7', 'width': 160}]",Zach Bryan,86,artist,spotify:artist:40ZNYROS4zLfyyBSs2PGe2
{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},"{'href': None, 'total': 89301822}","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9', 'width': 160}]",Drake,93,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
{'spotify': 'https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG'},"{'href': None, 'total': 36235751}",['pop'],https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG,1McMsnEElThX1knmY4oliG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e03a98785f3658f0b6461ec4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e03a98785f3658f0b6461ec4', 'width': 160}]",Olivia Rodrigo,86,artist,spotify:artist:1McMsnEElThX1knmY4oliG
{'spotify': 'https://open.spotify.com/artist/5arKwJZEvT5uKq4o0JfqR4'},"{'href': None, 'total': 1454457}","['hyperpop', 'sped up']",https://api.spotify.com/v1/artists/5arKwJZEvT5uKq4o0JfqR4,5arKwJZEvT5uKq4o0JfqR4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb63162da80b8d3b560b2aefa1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517463162da80b8d3b560b2aefa1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17863162da80b8d3b560b2aefa1', 'width': 160}]",Isabel LaRosa,76,artist,spotify:artist:5arKwJZEvT5uKq4o0JfqR4
{'spotify': 'https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH'},"{'href': None, 'total': 328872}",['pop rap'],https://api.spotify.com/v1/artists/3y2cIKLjiOlp1Np37WiUdH,3y2cIKLjiOlp1Np37WiUdH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517489447fe120bae042c52fad07', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17889447fe120bae042c52fad07', 'width': 160}]",Shaboozey,78,artist,spotify:artist:3y2cIKLjiOlp1Np37WiUdH
